 Comb. , Elem. , Sect. , N , Vy , Vz , T , My , Mz 
combULS01, 85, 0, 7.13102115348, 72654.6956662, 349.127285916, 0.0, -40909.4053682, 0.0
combULS01, 85, 1, 193.009603545, 72996.9022204, 349.127285916, 0.0, -40882.8003705, 0.0
combULS01, 86, 0, 0.50471950016, 24109.9181538, 111.642591602, 0.0, -12073.1258644, 0.0
combULS01, 86, 1, 2.95159124116, 18247.5218706, 111.642591602, 0.0, -28656.2398673, 0.0
combULS01, 87, 0, -489.522257523, 7142.39637955, 87.0209038595, 0.0, -40273.6558611, 0.0
combULS01, 87, 1, 152.102891944, 26389.2047673, 87.0209038595, 0.0, -6944.0450478, 0.0
combULS01, 88, 0, -264.54120256, 18103.8267014, 159.572331764, 0.0, -28603.6888364, 0.0
combULS01, 88, 1, 78.882817814, 23984.2430982, 159.572331764, 0.0, -11998.0188077, 0.0
combULS01, 89, 0, -53.7162835288, 13442.8065887, 70.8079085483, 0.0, -9140.19870852, 0.0
combULS01, 89, 1, 29.8503722888, 13433.8531791, 70.8079085483, 0.0, -9135.31675179, 0.0
combULS01, 91, 0, 19.2290002765, -26633.8418413, -81.0459903163, 0.0, -7085.34543798, 0.0
combULS01, 91, 1, -13.1103731733, 7172.96412954, -81.0459903163, 0.0, -40447.3344255, 0.0
combULS01, 92, 0, 57.5309401526, -103535.527716, -287.236411696, 0.0, -34642.9208861, 0.0
combULS01, 92, 1, -64.9808381419, 24832.4056727, -287.236411696, 0.0, -65599.5385957, 0.0
combULS01, 93, 0, 188.686718414, -296612.435415, -838.567843482, 0.0, -112937.328181, 0.0
combULS01, 93, 1, 1363.85180183, 295001.332226, -838.567843482, 0.0, -111901.717336, 0.0
combULS01, 94, 0, 4.19218538372, -24076.771881, -119.222742752, 0.0, -12064.9837552, 0.0
combULS01, 94, 1, -9.40961418081, 18209.0041229, -119.222742752, 0.0, -28647.5855591, 0.0
combULS01, 95, 0, 16.1599078404, -72612.9214532, -365.82632887, 0.0, -40895.1436596, 0.0
combULS01, 95, 1, 193.55360624, 72910.0954426, -365.82632887, 0.0, -40872.0397383, 0.0
combULS01, 96, 0, -288.327170992, -23543.4019363, -275.403085251, 0.0, -65376.3384618, 0.0
combULS01, 96, 1, 591.061411413, 102851.658995, -275.403085251, 0.0, -34325.4535979, 0.0
combULS01, 97, 0, -52.3797438479, -13425.6264825, -74.1947085902, 0.0, -9138.89067237, 0.0
combULS01, 97, 1, 27.3723066001, 13417.851294, -74.1947085902, 0.0, -9134.65115521, 0.0
combULS01, 98, 0, -264.692041693, -18084.2184747, -164.964611696, 0.0, -28601.9499647, 0.0
combULS01, 98, 1, 78.9925226151, 23967.6349952, -164.964611696, 0.0, -11999.7603882, 0.0
combULS01, 99, 0, -489.600538977, -7134.08006906, -90.7098975647, 0.0, -40275.4663507, 0.0
combULS01, 99, 1, 152.83479255, 26382.0837927, -90.7098975647, 0.0, -6952.17305282, 0.0
combULS01, 101, 0, 53.7162836639, -13652.8241562, -70.8079085486, 0.0, -9148.34093364, 0.0
combULS01, 101, 1, -29.8503724245, -13661.7775658, -70.8079085486, 0.0, -9153.22289037, 0.0
combULS01, 102, 0, 264.541202813, -18631.1004606, -159.572331615, 0.0, -28724.8254062, 0.0
combULS01, 102, 1, -78.8828178535, -24438.2518026, -159.572331615, 0.0, -12115.3635361, 0.0
combULS01, 103, 0, 489.522257397, -7335.8170144, -87.0209037836, 0.0, -40619.5410444, 0.0
combULS01, 103, 1, -152.102891972, -27024.8551957, -87.0209037836, 0.0, -7123.29534378, 0.0
combULS01, 104, 0, -0.504719460135, -24312.576747, -111.64259175, 0.0, -12040.2564794, 0.0
combULS01, 104, 1, -2.95159149387, -18487.4052914, -111.64259175, 0.0, -28672.2743753, 0.0
combULS01, 105, 0, -7.13102049521, -73845.419869, -349.127285915, 0.0, -41047.9250731, 0.0
combULS01, 105, 1, -193.009604204, -73503.2133149, -349.127285915, 0.0, -41074.5300707, 0.0
combULS01, 106, 0, 285.604782909, -25252.404956, -262.278554302, 0.0, -65594.5027673, 0.0
combULS01, 106, 1, -589.01771337, -105154.776223, -262.278554302, 0.0, -35077.8530184, 0.0
combULS01, 107, 0, -12.1066256403, -26734.9467334, -76.8947639627, 0.0, -6969.94254485, 0.0
combULS01, 107, 1, -9.75882183463, -7291.04061799, -76.8947639627, 0.0, -40421.6287648, 0.0
combULS01, 108, 0, -29.9680443454, -104367.276754, -274.677878343, 0.0, -34712.2779996, 0.0
combULS01, 108, 1, 51.5756127766, -23768.0707184, -274.677878343, 0.0, -65337.4797726, 0.0
combULS01, 109, 0, -125.147445525, -298184.567526, -800.289350837, 0.0, -112375.126997, 0.0
combULS01, 109, 1, -1356.5216337, -300039.810886, -800.289350837, 0.0, -113567.670192, 0.0
combULS01, 111, 0, 489.600539102, 7344.13332487, 90.70989764, 0.0, -40617.7305548, 0.0
combULS01, 111, 1, -152.83479252, -27031.9761703, 90.70989764, 0.0, -7115.16733877, 0.0
combULS01, 112, 0, 264.69204144, 18650.7086874, 164.964611844, 0.0, -28726.5642778, 0.0
combULS01, 112, 1, -78.9925225755, -24454.8599056, 164.964611844, 0.0, -12113.6219557, 0.0
combULS01, 113, 0, 52.3797437128, 13670.0042624, 74.1947085901, 0.0, -9149.64896979, 0.0
combULS01, 113, 1, -27.3723064651, -13677.7794508, 74.1947085901, 0.0, -9153.88848695, 0.0
combULS01, 114, 0, 288.327169743, 25177.442192, 275.403086566, 0.0, -65576.0455573, 0.0
combULS01, 114, 1, -591.061411173, -105213.357599, 275.403086566, 0.0, -35082.7379476, 0.0
combULS01, 115, 0, -16.159908499, 73887.194082, 365.826328871, 0.0, -41062.1867817, 0.0
combULS01, 115, 1, -193.553605583, -73590.0200927, 365.826328871, 0.0, -41085.290703, 0.0
combULS01, 116, 0, -4.19218542374, 24345.7230198, 119.222742604, 0.0, -12048.3985887, 0.0
combULS01, 116, 1, 9.40961443273, -18525.9230391, 119.222742604, 0.0, -28680.9286835, 0.0
combULS01, 117, 0, -188.686719697, 298539.435405, 838.567843483, 0.0, -112492.462645, 0.0
combULS01, 117, 1, -1363.85180055, -300150.538593, 838.567843483, 0.0, -113528.07349, 0.0
combULS01, 118, 0, -57.5309403941, 104529.488878, 287.236410382, 0.0, -34765.2706594, 0.0
combULS01, 118, 1, 64.980839391, -23888.4384556, 287.236410382, 0.0, -65352.8454235, 0.0
combULS01, 119, 0, -19.2290003057, 26780.2181217, 81.0459902408, 0.0, -6981.9949536, 0.0
combULS01, 119, 1, 13.1103730484, -7305.24926439, 81.0459902408, 0.0, -40445.86248, 0.0
combULS01, 121, 0, 4525.81330156, 382096.785086, 577.564888109, 0.0, -143463.134326, 0.0
combULS01, 121, 1, -3456.50001499, 393552.939762, 577.564888109, 0.0, -150827.105863, 0.0
combULS01, 122, 0, 2034.94396499, 133007.369841, 151.968680557, 0.0, -44091.5225247, 0.0
combULS01, 122, 1, -881.446958863, 27147.3803678, 151.968680557, 0.0, -84803.5484798, 0.0
combULS01, 123, 0, 512.869951819, 33885.1948321, 91.8635876927, 0.0, -8711.02970834, 0.0
combULS01, 123, 1, -1790.60799914, 9268.40200649, 91.8635876927, 0.0, -52204.1322952, 0.0
combULS01, 124, 0, 638.105525784, 36313.165829, 235.550135747, 0.0, -86390.6692024, 0.0
combULS01, 124, 1, -1588.22498826, 137870.190488, 235.550135747, 0.0, -46348.953572, 0.0
combULS01, 125, 0, 675.265005869, 96487.0698333, 251.96344499, 0.0, -53422.0698525, 0.0
combULS01, 125, 1, -530.824501466, 94373.9393945, 251.96344499, 0.0, -53586.3560992, 0.0
combULS01, 126, 0, 282.63612952, 31136.4017497, 252.974710921, 0.0, -15512.4470544, 0.0
combULS01, 126, 1, -961.364904569, 23420.9828123, 252.974710921, 0.0, -37281.2646592, 0.0
combULS01, 127, 0, 1444.36508751, 9544.89690423, 26.4335434664, 0.0, -53426.2434939, 0.0
combULS01, 127, 1, -394.360750655, 35675.3837947, 26.4335434664, 0.0, -9657.9854675, 0.0
combULS01, 128, 0, 772.576968758, 24308.3025679, -57.240234754, 0.0, -37605.7680378, 0.0
combULS01, 128, 1, -225.342534324, 31912.4470423, -57.240234754, 0.0, -15976.2342196, 0.0
combULS01, 129, 0, 262.304922429, 17599.06024, 51.1017193173, 0.0, -11933.2419102, 0.0
combULS01, 129, 1, -279.528833185, 17654.3476741, 51.1017193173, 0.0, -11963.3880639, 0.0
combULS01, 131, 0, -605.72353249, -36235.4018685, 559.872893996, 0.0, -9336.71531046, 0.0
combULS01, 131, 1, 1800.53930006, 10006.0259677, 559.872893996, 0.0, -53462.1950564, 0.0
combULS01, 132, 0, -2294.22054852, -141428.407692, 1817.03048044, 0.0, -46842.5696374, 0.0
combULS01, 132, 1, 1226.82649437, 33396.1196605, 1817.03048044, 0.0, -85601.2368701, 0.0
combULS01, 133, 0, -5455.7652364, -400519.303488, 5433.81888358, 0.0, -149554.466496, 0.0
